(1, 22, 0, 2, 0, 0, 0, 0, 0)
(1, 23, 0, 1, 0, 0, 0, 0, 0)
(1, 33, 0, 2, 0, 0, 2, 0, 0)
(1, 34, 0, 2, 2, 0, 2, 0, 0)
(1, 35, 0, 2, 2, 0, 0, 0, 0)
(2, 21, 0, 2, 0, 0, 2, 0, 0)
(2, 22, 0, 2, 2, 2, 1, 0, 0)
(2, 23, 0, 1, 1, 1, 0, 0, 0)
(2, 33, 0, 0, 0, 2, 2, 0, 0)
(2, 34, 0, 0, 2, 2, 2, 0, 0)
(2, 35, 0, 1, 2, 2, 0, 0, 0)
(3, 20, 0, 2, 0, 0, 2, 0, 0)
(3, 21, 0, 2, 2, 2, 2, 0, 0)
(3, 22, 0, 0, 2, 2, 0, 0, 0)
(3, 23, 0, 1, 0, 1, 0, 0, 0)
(3, 35, 0, 2, 0, 1, 0, 0, 0)
(4, 19, 0, 2, 0, 0, 2, 0, 0)
(4, 20, 0, 2, 2, 2, 2, 0, 0)
(4, 21, 0, 0, 2, 2, 0, 0, 0)
(4, 23, 0, 1, 0, 1, 0, 0, 0)
(4, 33, 0, 1, 0, 0, 0, 0, 0)
(4, 34, 0, 1, 0, 0, 0, 0, 0)
(4, 35, 0, 2, 0, 2, 0, 0, 0)
(5, 18, 0, 2, 0, 0, 2, 0, 0)
(5, 19, 0, 2, 2, 2, 2, 0, 0)
(5, 20, 0, 0, 2, 2, 0, 0, 0)
(5, 23, 0, 2, 0, 1, 0, 0, 0)
(5, 33, 0, 0, 0, 1, 2, 0, 0)
(5, 34, 0, 1, 2, 1, 0, 0, 0)
(5, 35, 0, 2, 0, 2, 0, 0, 0)
(6, 17, 0, 2, 0, 0, 2, 0, 0)
(6, 18, 0, 2, 2, 2, 2, 0, 0)
(6, 19, 0, 0, 2, 2, 0, 0, 0)
(6, 23, 0, 1, 0, 2, 0, 0, 0)
(6, 25, 0, 1, 0, 0, 0, 0, 0)
(6, 34, 0, 2, 0, 1, 0, 0, 0)
(6, 35, 0, 2, 0, 2, 0, 0, 0)
(7, 10, 0, 2, 0, 0, 0, 0, 0)
(7, 16, 0, 2, 0, 0, 2, 0, 0)
(7, 17, 0, 2, 2, 2, 2, 0, 0)
(7, 18, 0, 2, 2, 2, 0, 0, 0)
(7, 22, 0, 1, 0, 0, 2, 0, 0)
(7, 23, 0, 0, 2, 1, 2, 0, 0)
(7, 24, 0, 0, 2, 0, 2, 0, 0)
(7, 25, 0, 1, 2, 1, 2, 0, 0)
(7, 26, 0, 0, 2, 0, 0, 0, 0)
(7, 34, 0, 2, 0, 2, 0, 0, 0)
(7, 35, 0, 2, 0, 2, 0, 0, 0)
(7, 37, 0, 1, 0, 0, 0, 0, 0)
(8, 10, 0, 1, 0, 2, 0, 0, 0)
(8, 16, 0, 0, 0, 2, 2, 0, 0)
